year,cert_under_1yr,cert_1_to_2yr,cert_2_to_4yr,cert_postbacc,cert_postmasters,associate,bachelor,master,doctorate
2000,293658,278536,28222,14528,9030,587587,1259231,461607,127283
2001,284746,269804,26832,15735,9543,601838,1264769,472574,127384
2002,318903,278673,27988,17084,10555,604764,1313614,486764,128066
2003,349011,300588,28418,16034,11459,657787,1370730,518960,130192
2004,363669,327688,29523,20126,12769,673736,1421638,564400,135155
2005,374948,338190,29698,20154,13655,719907,1460346,581347,143352
2006,379104,331376,31443,22495,15140,735945,1504913,602032,147520
2007,389991,335516,32187,21895,16372,753454,1546074,612208,154383
2008,408761,341369,32092,23402,16570,774092,1581609,634835,156997
2009,437863,363821,38390,28954,17950,812113,1620781,669775,160170
2010,510410,407168,51137,32562,18407,875640,1670412,702589,160379
2011,492085,529639,45149,35955,18227,969404,1735425,741522,165713
2012,474644,511136,44246,36548,18370,1027942,1813523,765202,171942
2013,458900,501873,41175,35247,18147,1016309,1863270,763419,177786
2014,490422,479758,37469,37849,19299,1013540,1892843,765552,179440
2015,497266,467556,35752,39888,17687,1025482,1918406,769692,180361
2016,496765,446335,33524,43535,18732,1021421,1944371,796761,180087
2017,502100,440501,31935,43799,20244,1018810,1980538,815323,183191
2018,529925,437475,29350,48956,22134,1027038,2008262,833347,186943
2019,553790,443281,25605,50737,22437,1046061,2036077,845434,189612
2020,519053,444076,23787,57158,24254,1027139,2060808,855498,192071
2021,551673,441318,23296,64461,24799,1043922,2089503,880488,196307
2022,583810,455750,23604,67021,26162,1016442,2036578,894215,206504
2023,613551,457040,23703,69527,25905,967387,1985289,947602,207770
2024,697747,502875,22054,74516,24570,998920,1974834,948532,215814
