cip2,ctotalt2000,ctotalt2001,ctotalt2002,ctotalt2003,ctotalt2004,ctotalt2005,ctotalt2006,ctotalt2007,ctotalt2008,ctotalt2009,ctotalt2010,ctotalt2011,ctotalt2012,ctotalt2013,ctotalt2014,ctotalt2015,ctotalt2016,ctotalt2017,ctotalt2018,ctotalt2019,ctotalt2020,ctotalt2021,ctotalt2022,ctotalt2023,ctotalt2024
01,15360,15990,16183,27564,27003,27260,27305,26663,27002,27996,27975,29404,29986,31083,32232,34035,35221,36467,36809,38085,50854,49464,49933,50713,52812
02,12186,12327,12032,,,,,,,,,,,,,,,,,,,,,,
03,15490,13580,14250,14234,14014,13817,13847,14165,14888,15066,16605,19277,22090,23753,24184,24664,25152,25980,27426,28743,29131,29289,30000,30829,31121
04,13422,13607,14372,14980,15417,16191,16614,16940,17384,18079,18750,19055,19673,19210,18500,18525,18265,17882,17296,17695,17425,17259,18043,19641,20081
05,8982,8940,9258,9120,9810,10362,11083,11078,11447,11834,11837,12407,12632,12323,11927,11423,11621,11467,11820,13467,13212,13310,12874,12684,12614
08,18312,18719,22445,,,,,,,,,,,,,,,,,,,,,,
09,66484,69203,74195,79947,83304,85143,86927,87163,89127,91493,95831,99420,100846,102518,107237,111654,114746,117504,117293,118727,117842,117148,113612,106203,102462
10,6041,7117,6874,10693,9431,10547,10944,11773,14346,15882,15873,15537,16626,16594,16237,16659,15960,15740,15640,15952,15169,14796,15429,15651,16640
11,116070,122220,134908,172343,161301,140393,123018,110130,109648,112930,120060,133826,141005,146262,157451,167751,177162,193901,206869,217128,233967,250664,255687,289479,328329
12,86122,89867,98692,96999,106959,110365,112525,112483,120287,127393,142379,161322,173504,175544,165693,161310,143986,139444,132931,132632,119851,130327,149352,157937,164754
13,268802,273982,284041,299553,320511,327278,340676,340716,335928,344811,355043,363830,353138,334329,319445,303419,299314,299834,301548,302715,306354,323947,324468,313335,314046
14,93187,93733,94690,101031,107283,109213,110539,109504,114227,118059,122406,130373,138306,144495,153973,164488,179590,190226,196555,199599,199184,197323,191252,197645,196562
15,80753,76023,75482,88409,80404,76875,70902,71234,73610,77965,85994,98616,95293,88188,88785,89389,87567,89278,92034,92313,86507,84973,83804,85984,91811
16,22496,20098,20552,25911,27315,31624,26835,27616,28487,29319,30039,30512,30876,30757,29653,28772,27855,27097,27254,27121,26951,26501,25226,23899,23233
19,23181,23327,23807,46551,47744,49531,50900,49879,50288,51184,49756,52231,54599,55440,55730,57303,57805,57520,59863,58827,55889,55452,53615,51600,53400
20,22574,22959,25966,,,,,,,,,,,,,,,,,,,,,,
22,55625,55607,56464,61667,65565,69368,69579,69238,68822,69143,71686,75444,78053,78285,74537,69126,64745,61365,61374,60567,61461,60634,66619,63854,68316
23,62246,62213,66030,65504,65902,67375,68003,68493,69015,70304,67671,68433,69558,68699,65821,61110,58297,55902,54657,56082,53495,51651,49597,47472,46244
24,232142,243444,257336,269604,279793,293288,298040,305673,310422,326736,353019,384331,422038,429182,442344,460031,485798,501676,515266,546174,558284,555477,537763,510919,539025
25,5137,5279,5623,5851,6683,6872,7151,7428,7838,7808,8292,8624,8457,7932,6827,6139,5712,5661,5871,6202,5889,6530,6900,6837,7037
26,77740,75083,74509,75439,77493,81693,87391,94222,98561,102239,109832,114783,122561,129475,135186,141236,146828,150857,154863,159775,166562,174597,176814,177420,175904
27,17525,16917,17729,18179,19653,21081,21866,22291,22685,23473,24651,26689,28713,31504,32896,34538,36730,39166,42716,44948,47130,47482,45618,45290,42987
29,1070,1027,65,1161,379,1803,2183,2579,2994,3139,2711,4384,2135,1679,1897,2325,2351,2628,3223,3559,4397,4460,4406,4556,4761
30,43810,40921,45664,48908,50534,51268,54035,58029,61854,63023,66097,78199,86027,88567,90237,90838,93828,95707,100326,106478,110526,111722,113208,118547,129799
31,23035,23792,25086,26120,27015,28702,31714,33936,37007,39571,42807,47340,51482,56876,61863,64740,67649,70189,71392,71300,71434,73188,72000,69989,69733
38,10507,10793,11621,13247,13991,14543,15035,15261,15613,15628,16024,16254,16147,16280,15703,14868,13890,13666,13651,13683,17606,17363,16674,16893,16444
39,24567,22976,24583,25155,25329,26477,26668,27286,27955,28364,28408,28927,29822,30238,30439,30893,30723,30003,30258,30939,25798,26430,26332,25751,25388
40,29424,29197,28897,28906,29709,31142,33356,34208,35192,35911,37334,39976,42638,44667,46865,48162,49286,50425,51859,51722,50894,48398,47667,45916,44932
41,1772,1928,1634,1819,1772,2015,2133,2401,2425,2650,3147,3509,3833,4404,4652,5291,6040,6854,6547,7445,7387,6449,6922,6766,7086
42,96415,96893,99721,104755,109304,114120,117430,121379,124444,130200,136145,139032,150084,158508,163444,163889,166596,166999,169102,171399,177730,189310,195396,202137,207554
43,63329,70036,69200,77096,81776,89101,96694,104492,107468,112269,121955,136240,145069,153213,154714,155445,151883,148654,149396,143324,139539,141110,138626,131403,133092
44,51998,50302,50643,52185,55572,58596,60329,62286,64679,66077,69796,77451,85226,89282,92481,94744,95412,95374,96168,97656,96778,97641,96554,95553,92116
45,152126,152502,158181,137592,144569,150636,154178,156086,160766,163582,170142,177547,181647,183086,182888,180408,178576,179310,183234,186772,188879,189631,180411,175185,170863
46,18509,18646,19404,20809,23151,24963,25989,27574,29017,29867,33791,36276,32484,30793,31590,30120,31232,32237,34130,35994,37532,35788,40801,46109,54798
47,64435,61645,61317,71670,73523,81353,86030,86241,87498,90659,100757,115867,111730,109637,106430,106464,106764,107273,109345,107427,100870,96320,105731,110387,121155
48,37039,34077,32737,16832,16103,17093,16390,17880,20423,25372,32366,33242,32558,35509,42179,48120,51806,53695,55083,57432,52002,52912,55406,60166,67872
49,28260,30776,30570,33824,29512,30925,31053,37496,38134,33768,32654,33494,33740,34126,37906,36332,32363,30841,27996,28708,26619,29003,33206,35648,35131
50,101003,102440,111772,120497,128107,130358,134234,137690,137880,139679,144019,148913,156012,156790,155446,155187,146382,147021,150259,149085,151157,145030,145873,145618,149740
51,408052,406373,416243,489103,556998,614447,648578,685364,719281,781820,889688,970887,976822,961774,963484,958729,956378,953889,958462,964257,932488,976113,977678,962810,993362
52,569687,568181,591231,598148,621941,630028,642036,656077,673096,706552,732377,760575,766751,754590,757822,769621,776132,784247,804907,819003,816989,837997,817904,808264,820140
54,,,,31738,33834,35693,37758,39126,39507,39972,40787,40892,41392,40534,37474,34342,31886,30462,30007,30099,30062,30078,28685,28684,28518
95,14767,10485,2404,35,,58,,,482,,,,,,,,,,,,,,,,
