year,cip2,ctotalt,year_total,share,rank
2015,51,347182,1000574,34.698284,1
2015,12,140961,1000574,14.088014,2
2015,52,87937,1000574,8.7886553,3
2015,47,85948,1000574,8.5898695,4
2015,24,44939,1000574,4.491322,5
2015,48,43595,1000574,4.3569989,6
2015,43,37047,1000574,3.7025747,7
2015,11,35130,1000574,3.5109847,8
2015,15,33691,1000574,3.3671672,9
2015,49,28812,1000574,2.8795471,10
2015,46,25177,1000574,2.5162556,11
2015,19,20152,1000574,2.014044,12
2015,50,17044,1000574,1.7034222,13
2015,13,10640,1000574,1.0633897,14
2015,10,5985,1000574,.59815663,15
2015,22,5245,1000574,.52419913,16
2015,01,5113,1000574,.51100665,17
2015,09,3792,1000574,.37898245,18
2015,30,3048,1000574,.30462515,19
2015,31,2805,1000574,.28033909,20
2015,44,2471,1000574,.24695824,21
2015,41,2184,1000574,.21827471,22
2015,23,2066,1000574,.20648149,23
2015,16,2036,1000574,.20348319,24
2015,39,1513,1000574,.1512132,25
2015,45,1395,1000574,.13941997,26
2015,14,1073,1000574,.10723844,27
2015,03,947,1000574,.094645672,28
2015,26,804,1000574,.080353878,29
2015,05,599,1000574,.059865639,30
2015,04,294,1000574,.029383134,31
2015,25,271,1000574,.027084453,32
2015,40,161,1000574,.016090764,33
2015,42,159,1000574,.01589088,34
2015,27,151,1000574,.015091337,35
2015,38,103,1000574,.010294091,36
2015,29,57,1000574,.0056967302,37
2015,54,47,1000574,.0046973038,38
2019,51,291318,1022676,28.485855,1
2019,12,120314,1022676,11.764626,2
2019,52,103538,1022676,10.124223,3
2019,24,88355,1022676,8.6395884,4
2019,47,85350,1022676,8.3457518,5
2019,48,51931,1022676,5.0779524,6
2019,11,44380,1022676,4.3395953,7
2019,15,39048,1022676,3.818218,8
2019,43,36952,1022676,3.6132655,9
2019,46,30093,1022676,2.9425743,10
2019,19,21564,1022676,2.1085856,11
2019,49,20918,1022676,2.045418,12
2019,50,18389,1022676,1.7981257,13
2019,13,13837,1022676,1.353019,14
2019,01,6831,1022676,.66795349,15
2019,10,6323,1022676,.61827987,16
2019,30,5810,1022676,.56811738,17
2019,09,5338,1022676,.52196395,18
2019,22,4271,1022676,.41762984,19
2019,23,3382,1022676,.33070102,20
2019,41,3222,1022676,.31505579,21
2019,16,3097,1022676,.30283296,22
2019,44,2829,1022676,.27662721,23
2019,05,2475,1022676,.24201213,24
2019,31,2402,1022676,.234874,25
2019,45,2245,1022676,.21952212,26
2019,14,1769,1022676,.17297757,27
2019,39,1751,1022676,.17121747,28
2019,26,1598,1022676,.15625672,29
2019,03,1552,1022676,.15175872,30
2019,04,383,1022676,.037450768,31
2019,42,322,1022676,.031486023,32
2019,27,305,1022676,.029823717,33
2019,25,265,1022676,.02591241,34
2019,40,239,1022676,.023370061,35
2019,38,185,1022676,.018089795,36
2019,29,63,1022676,.0061603086,37
2019,54,32,1022676,.0031290457,38
2024,51,295542,1222676,24.171734,1
2024,12,152805,1222676,12.497587,2
2024,24,136915,1222676,11.197979,3
2024,52,124405,1222676,10.174813,4
2024,47,96652,1222676,7.9049559,5
2024,11,65545,1222676,5.3607826,6
2024,48,62461,1222676,5.1085486,7
2024,46,47451,1222676,3.8809137,8
2024,15,41776,1222676,3.4167678,9
2024,43,38679,1222676,3.163471,10
2024,49,24959,1222676,2.041342,11
2024,19,23660,1222676,1.9350997,12
2024,13,20206,1222676,1.6526046,13
2024,50,18744,1222676,1.5330309,14
2024,01,12624,1222676,1.0324894,15
2024,30,9458,1222676,.77354914,16
2024,10,6773,1222676,.55394888,17
2024,22,5472,1222676,.44754294,18
2024,09,4731,1222676,.38693815,19
2024,16,4434,1222676,.36264718,20
2024,14,3476,1222676,.28429446,21
2024,45,3295,1222676,.26949087,22
2024,05,2993,1222676,.24479093,23
2024,41,2860,1222676,.23391315,24
2024,23,2714,1222676,.22197214,25
2024,31,2374,1222676,.19416428,26
2024,44,2299,1222676,.18803018,27
2024,26,2042,1222676,.16701072,28
2024,03,1612,1222676,.13184196,29
2024,39,1364,1222676,.11155858,30
2024,42,1183,1222676,.096754983,31
2024,04,796,1222676,.065103099,32
2024,54,592,1222676,.048418388,33
2024,27,479,1222676,.039176363,34
2024,38,371,1222676,.030343279,35
2024,40,337,1222676,.027562493,36
2024,25,314,1222676,.025681375,37
2024,29,283,1222676,.023145951,38
